date,exit,ticker,dir,regime,S_entry,K,entry_px,exit_px,ret_pct,pnl,reason,portfolio
2018-03-12,2018-03-26,FB,put,bear,187.93,184.17,8.52,1.28,-85.0,-1448,STOP,87945
2018-03-12,2018-04-09,AMZN,put,neutral,148.02,145.06,9.29,1.13,-87.9,-1634,STOP,84960
2018-03-12,2018-04-10,AAPL,put,bull,139.17,136.38,6.30,0.65,-89.7,-1694,STOP,83265
2018-03-12,2018-04-10,MSFT,put,bull,216.67,212.34,6.25,0.66,-89.4,-1676,STOP,81590
2018-03-12,2018-04-10,INTC,put,bull,47.16,46.22,1.67,0.21,-87.5,-1461,STOP,80129
2018-03-12,2018-04-12,GOOGL,put,bull,117.18,114.84,4.03,0.79,-80.5,-1296,STOP,78833
2018-03-26,2018-04-30,FB,put,bull,233.21,228.54,13.51,15.84,17.2,233,ROLL,71670
2018-04-16,2018-05-14,FB,call,bull,222.14,226.58,15.96,3.04,-80.9,-1291,STOP,70378
2018-04-16,2018-05-15,GOOGL,call,bull,121.64,124.08,6.25,1.05,-83.2,-1040,STOP,68129
2018-04-16,2018-05-16,INTC,call,bull,51.78,52.82,1.99,0.39,-80.5,-1122,STOP,67007
2018-04-16,2018-05-18,AAPL,call,bull,147.43,150.38,6.86,1.24,-81.9,-1124,STOP,65883
2018-04-16,2018-05-21,MSFT,call,neutral,230.11,234.71,9.87,6.51,-34.0,-335,ROLL,65548
2018-04-16,2018-05-21,AMZN,call,neutral,158.56,161.73,7.99,4.44,-44.4,-355,ROLL,65193
2018-05-14,2024-10-04,FB,call,N/A,207.47,211.62,12.09,28524.78,235767.1,2851269,FINAL,2916462
