date,portfolio
2022-07-21,100000.0
2022-07-22,99265.49360466607
2022-07-25,99265.49360466607
2022-07-26,99265.49360466607
2022-07-27,98529.05099854324
2022-07-28,98529.05099854324
2022-07-29,98529.05099854324
2022-08-01,97698.56019867671
2022-08-02,98036.1832819289
2022-08-03,99524.44065066414
2022-08-04,98845.95888689015
2022-08-05,98845.95888689015
2022-08-08,98845.95888689015
2022-08-09,97957.02990196602
2022-08-10,97256.82700742203
2022-08-11,97256.82700742203
2022-08-12,96545.64690370268
2022-08-15,95827.38848228767
2022-08-16,95827.38848228767
2022-08-17,95827.38848228767
2022-08-18,95114.20470044734
2022-08-19,95114.20470044734
2022-08-22,94420.00204919538
2022-08-23,94420.00204919538
2022-08-24,94420.00204919538
2022-08-25,94420.00204919538
2022-08-26,93729.12676839986
2022-08-29,93729.12676839986
2022-08-30,93001.13389706428
2022-08-31,95296.99876425017
2022-09-01,95296.99876425017
2022-09-02,94575.28369558704
2022-09-06,93921.67092683817
2022-09-07,93898.54839665697
2022-09-08,93201.77454924917
2022-09-09,92474.74673576377
2022-09-12,91732.88967286667
2022-09-13,90877.59237297217
2022-09-14,90877.59237297217
2022-09-15,90114.03068266308
2022-09-16,89437.24671645413
2022-09-19,88739.4323783891
2022-09-20,88562.43944006528
2022-09-21,88015.22216398965
2022-09-22,87390.79508804985
2022-09-23,86770.94183895155
2022-09-26,86097.8832913788
2022-09-27,86097.8832913788
2022-09-28,86097.8832913788
2022-09-29,86097.8832913788
2022-09-30,86097.8832913788
2022-10-03,85754.19323578174
2022-10-04,85120.26015502273
2022-10-05,85120.26015502273
2022-10-06,85120.26015502273
2022-10-07,85120.26015502273
2022-10-10,85120.26015502273
2022-10-11,85120.26015502273
2022-10-12,84417.76927449048
2022-10-13,83754.4500599077
2022-10-14,83754.4500599077
2022-10-17,85750.73094190049
2022-10-18,85750.73094190049
2022-10-19,85750.73094190049
2022-10-20,85300.67667993148
2022-10-21,85188.45402466002
2022-10-24,86146.21511644291
2022-10-25,86146.21511644291
2022-10-26,85397.00754287036
2022-10-27,85397.00754287036
2022-10-28,84757.51065843807
2022-10-31,84757.51065843807
2022-11-01,84058.82701490306
2022-11-02,84058.82701490306
2022-11-03,84058.82701490306
2022-11-04,83417.45091855447
2022-11-07,83417.45091855447
2022-11-08,82800.25965300789
2022-11-09,82145.11320308998
2022-11-10,81521.1790076811
2022-11-11,81521.1790076811
2022-11-14,81521.1790076811
2022-11-15,80927.49499021612
2022-11-16,80927.49499021612
2022-11-17,80414.65166092917
2022-11-18,80414.65166092917
2022-11-21,80909.82425025103
2022-11-22,80325.34709829261
2024-12-31 00:00:00,79760.07874494945
