date,exit,regime,S,entry_val,exit_val,ret,pnl,reason,port
2016-04-11,2016-05-16,bull,425.96,2.36,10.16,-84.7,-781,ROLL,99455
2016-06-27,2016-08-01,bull,434.25,2.75,14.80,-88.5,-1205,ROLL,98525
2016-08-22,2016-09-26,bull,438.53,2.49,-10.89,130.8,1339,ROLL,100113
2016-09-26,2016-10-31,bull,456.38,2.66,-33.29,313.4,3596,ROLL,103975
2016-10-31,2016-12-05,bull,498.10,3.10,10.73,-51.4,-763,ROLL,103521
2016-12-05,2017-01-09,bull,489.39,2.96,7.80,-35.7,-484,ROLL,103334
2017-03-06,2017-04-10,bull,509.25,2.52,-33.55,449.2,14425,ROLL,118765
2017-04-10,2017-05-02,bull,552.29,3.08,25.94,-187.0,-2286,STOP,116787
2017-06-12,2017-06-21,bull,576.84,3.11,16.50,-115.1,-1339,STOP,115759
2017-06-26,2017-07-31,bull,561.11,3.41,-4.59,51.0,800,ROLL,116899
2017-08-14,2017-09-18,bull,615.52,3.63,17.04,-84.3,-1341,ROLL,115921
2017-11-27,2018-01-01,bull,590.94,3.79,28.25,-127.9,-2446,ROLL,113855
2018-04-02,2018-05-07,bull,531.14,3.39,-7.00,61.3,1039,ROLL,115233
2018-05-07,2018-06-11,bull,545.30,3.21,-25.97,207.6,2918,ROLL,118472
2018-06-11,2018-06-25,bull,580.95,3.52,37.01,-207.7,-3349,STOP,115474
2018-12-17,2019-01-21,bull,566.17,3.60,-4.44,44.9,804,ROLL,116639
2019-01-21,2019-02-25,bull,577.72,3.15,-22.51,213.0,2566,ROLL,119520
2019-02-25,2019-04-01,bull,610.60,3.35,-9.06,96.3,1241,ROLL,121095
2019-04-01,2019-05-06,bull,628.48,3.49,-28.99,236.6,3248,ROLL,124692
2019-05-06,2019-06-10,bull,668.69,3.95,-101.20,604.2,10515,ROLL,135602
2019-06-10,2019-07-15,bull,782.41,4.27,-56.88,374.1,6115,ROLL,142144
2019-07-15,2019-08-09,bull,853.91,4.69,32.71,-154.3,-2802,STOP,139812
2019-09-09,2019-10-02,bull,882.39,5.00,46.44,-203.1,-4145,STOP,136167
2019-11-11,2019-12-16,bull,887.30,5.13,-66.79,331.5,7192,ROLL,143871
2019-12-16,2020-01-20,bull,970.59,5.81,-48.75,208.6,5456,ROLL,149908
2020-01-20,2020-02-03,bull,1036.91,6.06,45.72,-151.3,-3966,STOP,146549
2020-03-02,2020-04-06,bull,1048.71,6.11,-14.42,78.3,2053,ROLL,149212
