entry,exit,S_entry,S_exit,vol_env,contracts,net_credit,ret,pnl,reason,portfolio
2016-04-11,2016-05-16,189.31,185.14,easy,2,-0.614,-125.2%,-1026,ROLL,98697
2016-04-18,2016-05-23,189.25,181.80,normal,1,-1.536,-170.1%,-891,ROLL,97806
2016-06-27,2016-08-01,193.00,186.59,normal,1,-2.156,-145.2%,-878,ROLL,96712
2016-08-22,2016-09-26,194.90,202.83,easy,2,-0.889,135.9%,1237,ROLL,97661
2016-08-29,2016-10-03,193.52,200.18,normal,1,-1.100,93.0%,445,ROLL,97985
2016-09-26,2016-10-31,202.83,221.38,normal,1,-1.220,538.2%,2745,ROLL,100593
2016-10-03,2016-11-07,200.18,221.29,normal,1,-1.368,661.9%,3464,ROLL,103838
2016-10-31,2016-12-05,221.38,217.51,normal,1,-2.190,-104.8%,-692,ROLL,102858
2016-11-07,2016-12-12,221.29,216.41,hard,1,-2.881,-112.2%,-832,ROLL,101850
2016-12-05,2017-01-09,217.51,215.51,normal,1,-1.764,-80.4%,-484,ROLL,101140
2016-12-26,2017-01-30,226.25,214.42,normal,1,-2.254,-216.1%,-1462,ROLL,99678
2017-03-06,2017-04-10,226.33,245.46,easy,2,0.193,756.8%,5401,ROLL,105132
2017-03-13,2017-04-17,228.48,244.35,easy,2,0.069,503.8%,3838,ROLL,108793
2017-04-10,2017-05-15,245.46,235.87,easy,2,-0.887,-190.5%,-2070,ROLL,106553
2017-04-17,2017-05-22,244.35,239.78,easy,2,-0.850,-111.9%,-1201,ROLL,105352
2017-06-12,2017-07-17,256.37,255.51,easy,2,-0.544,-54.8%,-567,ROLL,104535
2017-06-19,2017-07-24,257.24,253.66,normal,1,-1.416,-97.8%,-616,ROLL,103624
2017-07-17,2017-08-21,255.51,279.70,normal,1,-2.945,429.2%,3482,ROLL,106926
2017-08-14,2017-09-18,273.56,266.97,normal,1,-1.803,-133.1%,-941,ROLL,105765
2017-08-21,2017-09-21,279.70,259.80,normal,1,-2.199,-315.3%,-2415,STOP_SPREAD,103350
2017-11-27,2018-01-01,262.64,249.92,normal,1,-3.163,-186.7%,-1587,ROLL,101177
2017-12-04,2018-01-05,264.30,242.89,normal,1,-2.697,-313.3%,-2500,STOP_SPREAD,98677
2018-04-02,2018-05-07,236.06,242.36,normal,1,-2.748,23.3%,175,ROLL,98418
2018-04-16,2018-05-21,236.56,251.65,easy,2,-0.795,345.1%,3561,ROLL,101821
2018-05-07,2018-06-11,242.36,258.20,normal,1,-1.584,288.0%,1799,ROLL,103393
2018-05-21,2018-06-25,251.65,241.70,normal,1,-2.270,-176.7%,-1280,ROLL,101903
2018-06-11,2018-06-27,258.20,241.15,normal,1,-2.109,-313.5%,-2246,STOP_PUT,99657
2018-12-17,2019-01-21,251.63,256.77,normal,1,-2.871,-4.1%,-32,ROLL,99143
2018-12-24,2019-01-28,251.95,260.76,normal,1,-1.948,66.3%,455,ROLL,99530
2019-01-21,2019-02-25,256.77,271.38,easy,1,-0.676,267.3%,1431,ROLL,100884
2019-01-28,2019-03-04,260.76,286.15,easy,1,-0.772,709.4%,3938,ROLL,104745
2019-02-25,2019-04-01,271.38,279.33,easy,1,-0.766,79.4%,455,ROLL,105003
2019-03-04,2019-04-08,286.15,280.20,normal,1,-1.964,-116.0%,-869,ROLL,104040
2019-04-01,2019-05-06,279.33,297.19,easy,1,-0.945,334.0%,2037,ROLL,105936
2019-04-08,2019-05-13,280.20,294.88,normal,1,-1.419,214.6%,1441,ROLL,107176
2019-05-06,2019-06-10,297.19,347.74,normal,1,-2.003,1373.1%,10622,ROLL,117565
