date,portfolio
2022-07-21,100000.0
2022-07-22,99185.25992971937
2022-07-25,100689.90249686645
2022-07-26,100689.90249686645
2022-07-27,100436.64529180095
2022-07-28,100436.64529180095
2022-07-29,100436.64529180095
2022-08-01,99762.67412577115
2022-08-02,98931.54735781217
2022-08-03,97941.86363813617
2022-08-04,98655.84763663843
2022-08-05,98655.84763663843
2022-08-08,98655.84763663843
2022-08-09,97839.81726123672
2022-08-10,97785.33863451226
2022-08-11,97785.33863451226
2022-08-12,96978.43750898854
2022-08-15,96978.43750898854
2022-08-16,96140.16830570251
2022-08-17,95395.76363667347
2022-08-18,95395.76363667347
2022-08-19,95395.76363667347
2022-08-22,95395.76363667347
2022-08-23,95395.76363667347
2022-08-24,95395.76363667347
2022-08-25,95395.76363667347
2022-08-26,95089.46942911773
2022-08-29,95089.46942911773
2022-08-30,94352.3154906347
2022-08-31,93496.51465324014
2022-09-01,93496.51465324014
2022-09-02,92771.7678328537
2022-09-06,92150.4153161848
2022-09-07,91308.7569404589
2022-09-08,90546.70150708135
2022-09-09,90546.70150708135
2022-09-12,89822.99748988493
2022-09-13,89205.39564042067
2022-09-14,89205.39564042067
2022-09-15,88504.39356330149
2022-09-16,89012.75368777424
2022-09-19,88410.26605998982
2022-09-20,87672.37321258037
2022-09-21,87057.81385691001
2022-09-22,86475.11682141531
2022-09-23,85685.41596606282
2022-09-26,85685.41596606282
2022-09-27,85037.05045849027
2022-09-28,85037.05045849027
2022-09-29,85037.05045849027
2022-09-30,85037.05045849027
2022-10-03,84353.19243674989
2022-10-04,84367.48065875318
2022-10-05,84367.48065875318
2022-10-06,84367.48065875318
2022-10-07,84095.2882462809
2022-10-10,84095.2882462809
2022-10-11,84095.2882462809
2022-10-12,83275.71273968411
2022-10-13,82691.89969616501
2022-10-14,82691.89969616501
2022-10-17,84543.00114693189
2022-10-18,84543.00114693189
2022-10-19,84543.00114693189
2022-10-20,83941.84764746916
2022-10-21,83218.32859555508
2022-10-24,82642.45088631846
2022-10-25,82642.45088631846
2022-10-26,82232.93610594932
2022-10-27,82232.93610594932
2022-10-28,81529.18540178383
2022-10-31,81529.18540178383
2022-11-01,80914.0320121918
2022-11-02,80914.0320121918
2022-11-03,80914.0320121918
2024-12-31 00:00:00,80302.2117129011
